                     PCA1        PCA2
AP13.1        0.085388491  0.31013318
UFMG-CM-Y215 -0.108144867 -0.09290786
UFMG-CM-Y223  0.068703823  0.33040308
UFMG-CM-Y228  0.029243977  0.20106051
UFMG-CM-Y251 -0.094804402 -0.11724540
UFMG-CM-Y617 -0.109339447 -0.09899914
UFMG-CM-Y618 -0.110829898 -0.10069351
UFMG-CM-Y619 -0.110826513 -0.10059807
UFMG-CM-Y620 -0.108079473 -0.09854656
UFMG-CM-Y621 -0.107874643 -0.09872083
UFMG-CM-Y622  0.067150569  0.32957937
UFMG-CM-Y623  0.011180984  0.04070799
UFMG-CM-Y624 -0.077658137 -0.09872821
UFMG-CM-Y625 -0.069365648 -0.07878431
UFMG-CM-Y627 -0.084946732 -0.10448767
UFMG-CM-Y628  0.073556307  0.12381319
UFMG-CM-Y629 -0.087097563 -0.10885088
UFMG-CM-Y630 -0.094850308 -0.12518304
UFMG-CM-Y631 -0.098400232 -0.12392844
UFMG-CM-Y632 -0.080891402 -0.12166267
UFMG-CM-Y633 -0.001409736 -0.04418668
UFMG-CM-Y634 -0.061550202 -0.11143034
UFMG-CM-Y635 -0.060401873 -0.10887523
UFMG-CM-Y637  0.087643959  0.30913994
UFMG-CM-Y638  0.143631099  0.46068048
UFMG-CM-Y648  0.899971870 -0.37168889
